Date,Confirmed,Death,Recovered,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,New Active Cases,New Active Cases PCT Change,New Cases,New Case PCT Change,New Deaths,New Death PCT Change,New Recovered,New Recovered PCT Change,Likely Cases C86,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct
2020-01-30,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,1.14,0.0,0.0,0.0
2020-01-31,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0
2020-02-01,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0
2020-02-02,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,inf,0.0,1.0,0.0,0.0,1.0,inf,1.0,inf,0.0,0.0,1.14,100.0,180.0,350.0
2020-02-03,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,1.14,100.0,180.0,350.0
2020-02-04,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,100.0,180.0,350.0
2020-02-05,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,100.0,180.0,350.0
2020-02-06,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,100.0,180.0,350.0
2020-02-07,3.0,1.0,0.0,3.0,1.0,0.0,2.0,0.333,0.0,0.0,0.5,1.0,inf,1.0,inf,0.0,0.0,0.0,0.0,2.28,100.0,180.0,350.0
2020-02-08,3.0,1.0,0.0,3.0,1.0,0.0,2.0,0.333,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,2.28,100.0,180.0,350.0
2020-02-09,3.0,1.0,0.0,3.0,1.0,0.0,2.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.28,100.0,180.0,350.0
2020-02-10,3.0,1.0,0.0,3.0,1.0,0.0,2.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.28,100.0,180.0,350.0
2020-02-11,3.0,1.0,0.0,3.0,1.0,0.0,2.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.28,100.0,180.0,350.0
2020-02-12,3.0,1.0,1.0,3.0,1.0,1.0,1.0,0.333,0.0,inf,0.0,-1.0,-inf,0.0,0.0,0.0,0.0,1.0,inf,1.14,100.0,180.0,350.0
2020-02-13,3.0,1.0,1.0,3.0,1.0,1.0,1.0,0.333,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.14,100.0,180.0,350.0
2020-02-14,3.0,1.0,1.0,3.0,1.0,1.0,1.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,100.0,180.0,350.0
2020-02-15,3.0,1.0,1.0,3.0,1.0,1.0,1.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,100.0,180.0,350.0
2020-02-16,3.0,1.0,1.0,3.0,1.0,1.0,1.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,100.0,180.0,350.0
2020-02-17,3.0,1.0,1.0,3.0,1.0,1.0,1.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,100.0,180.0,350.0
2020-02-18,3.0,1.0,1.0,3.0,1.0,1.0,1.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,100.0,180.0,350.0
