Date,Confirmed,Death,Province/State,Recovered,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-03-01,1.0,,Dominican Republic,0,1.0,,0.0,1.0,0.0,,,,,,,1.0
2020-03-02,1.0,,Dominican Republic,0,1.0,,0.0,1.0,0.0,,,0.0,,,,1.0
2020-03-03,1.0,,Dominican Republic,0,1.0,,0.0,1.0,0.0,,,0.0,,,,1.0
2020-03-04,1.0,,Dominican Republic,0,1.0,,0.0,1.0,0.0,,,0.0,,,,1.0
2020-03-05,1.0,,Dominican Republic,0,1.0,,0.0,1.0,0.0,,,0.0,,,,1.0
2020-03-06,2.0,,Dominican Republic,0,2.0,,0.0,2.0,0.0,,,1.0,,,,2.0
2020-03-07,2.0,,Dominican Republic,0,2.0,,0.0,2.0,0.0,,,0.0,,,,2.0
2020-03-08,5.0,,Dominican Republic,0,5.0,,0.0,5.0,0.0,,,1.5,,,,6.0
2020-03-09,5.0,,Dominican Republic,0,5.0,,0.0,5.0,0.0,,,0.0,,,,6.0
2020-03-10,5.0,,Dominican Republic,0,5.0,,0.0,5.0,0.0,,,0.0,,,,6.0
2020-03-11,5.0,,Dominican Republic,0,5.0,,0.0,5.0,0.0,,,0.0,,,,6.0
2020-03-12,5.0,,Dominican Republic,0,5.0,,0.0,5.0,0.0,,,0.0,,,,6.0
2020-03-13,5.0,,Dominican Republic,0,5.0,,0.0,5.0,0.0,,,0.0,,,,6.0
2020-03-14,11.0,,Dominican Republic,0,11.0,,0.0,11.0,0.0,,,1.2,,,,13.0
2020-03-15,11.0,,Dominican Republic,0,11.0,,0.0,11.0,0.0,,,0.0,,,,13.0
2020-03-16,11.0,,Dominican Republic,0,11.0,,0.0,11.0,0.0,,,0.0,,,,13.0
2020-03-17,21.0,1.0,Dominican Republic,0,21.0,1.0,0.0,20.0,0.048,inf,,0.909,100.0,180.0,350.0,24.0
2020-03-18,21.0,1.0,Dominican Republic,0,21.0,1.0,0.0,20.0,0.048,0.0,,0.0,100.0,180.0,350.0,24.0
2020-03-19,34.0,2.0,Dominican Republic,0,34.0,2.0,0.0,32.0,0.059,1.0,,0.619,200.0,360.0,700.0,39.0
2020-03-20,72.0,2.0,Dominican Republic,0,72.0,2.0,0.0,70.0,0.028,0.0,,1.118,200.0,360.0,700.0,82.0
2020-03-21,112.0,2.0,Dominican Republic,0,112.0,2.0,0.0,110.0,0.018,0.0,,0.556,200.0,360.0,700.0,128.0
2020-03-22,202.0,3.0,Dominican Republic,0,202.0,3.0,0.0,199.0,0.015,0.5,,0.804,300.0,540.0,1050.0,230.0
2020-03-23,202.0,3.0,Dominican Republic,0,202.0,3.0,0.0,199.0,0.015,0.0,,0.0,300.0,540.0,1050.0,230.0
