Date,Confirmed,Death,Recovered,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,New Active Cases,New Active Cases PCT Change,New Cases,New Case PCT Change,New Deaths,New Death PCT Change,New Recovered,New Recovered PCT Change,Likely Cases C86,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct
2020-02-28,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,1.14,0.0,0.0,0.0
2020-02-29,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.56,0.0,0.0,0.0
2020-03-01,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.25,1.0,-0.6666666666666667,1.0,-0.6666666666666667,0.0,0.0,0.0,0.0,5.699999999999999,0.0,0.0,0.0
2020-03-02,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,5.699999999999999,0.0,0.0,0.0
2020-03-03,5.0,0.0,1.0,5.0,0.0,1.0,4.0,0.0,0.0,inf,0.0,-1.0,-inf,0.0,0.0,0.0,0.0,1.0,inf,4.56,0.0,0.0,0.0
2020-03-04,5.0,0.0,1.0,5.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,4.56,0.0,0.0,0.0
2020-03-05,5.0,0.0,1.0,5.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.56,0.0,0.0,0.0
2020-03-06,6.0,0.0,1.0,6.0,0.0,1.0,5.0,0.0,0.0,0.0,0.2,1.0,inf,1.0,inf,0.0,0.0,0.0,0.0,5.699999999999999,0.0,0.0,0.0
2020-03-07,6.0,0.0,1.0,6.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,5.699999999999999,0.0,0.0,0.0
2020-03-08,7.0,0.0,1.0,7.0,0.0,1.0,6.0,0.0,0.0,0.0,0.167,1.0,inf,1.0,inf,0.0,0.0,0.0,0.0,6.84,0.0,0.0,0.0
2020-03-09,7.0,0.0,1.0,7.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,6.84,0.0,0.0,0.0
2020-03-10,7.0,0.0,4.0,7.0,0.0,4.0,3.0,0.0,0.0,3.0,0.0,-3.0,-inf,0.0,0.0,0.0,0.0,3.0,inf,3.42,0.0,0.0,0.0
2020-03-11,8.0,0.0,4.0,8.0,0.0,4.0,4.0,0.0,0.0,0.0,0.143,1.0,-1.3333333333333333,1.0,inf,0.0,0.0,0.0,-1.0,4.56,0.0,0.0,0.0
2020-03-12,12.0,0.0,4.0,12.0,0.0,4.0,8.0,0.0,0.0,0.0,0.5,4.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,9.12,0.0,0.0,0.0
2020-03-13,12.0,0.0,4.0,12.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,9.12,0.0,0.0,0.0
2020-03-14,26.0,0.0,4.0,26.0,0.0,4.0,22.0,0.0,0.0,0.0,1.167,14.0,inf,14.0,inf,0.0,0.0,0.0,0.0,25.08,0.0,0.0,0.0
2020-03-15,41.0,0.0,4.0,41.0,0.0,4.0,37.0,0.0,0.0,0.0,0.577,15.0,0.0714285714285714,15.0,0.0714285714285714,0.0,0.0,0.0,0.0,42.18,0.0,0.0,0.0
2020-03-16,53.0,0.0,4.0,53.0,0.0,4.0,49.0,0.0,0.0,0.0,0.293,12.0,-0.19999999999999996,12.0,-0.19999999999999996,0.0,0.0,0.0,0.0,55.85999999999999,0.0,0.0,0.0
2020-03-17,82.0,0.0,4.0,82.0,0.0,4.0,78.0,0.0,0.0,0.0,0.547,29.0,1.4166666666666665,29.0,1.4166666666666665,0.0,0.0,0.0,0.0,88.91999999999999,0.0,0.0,0.0
2020-03-18,93.0,0.0,4.0,93.0,0.0,4.0,89.0,0.0,0.0,0.0,0.134,11.0,-0.6206896551724138,11.0,-0.6206896551724138,0.0,0.0,0.0,0.0,101.46,0.0,0.0,0.0
2020-03-19,118.0,1.0,4.0,118.0,1.0,4.0,113.0,0.008,inf,0.0,0.269,24.0,1.1818181818181817,25.0,1.272727272727273,1.0,inf,0.0,0.0,128.82,100.0,180.0,350.0
2020-03-20,164.0,1.0,4.0,164.0,1.0,4.0,159.0,0.006,0.0,0.0,0.39,46.0,0.9166666666666667,46.0,0.8400000000000001,0.0,-1.0,0.0,0.0,181.26,100.0,180.0,350.0
2020-03-21,203.0,2.0,4.0,203.0,2.0,4.0,197.0,0.01,1.0,0.0,0.238,38.0,-0.17391304347826086,39.0,-0.15217391304347827,1.0,inf,0.0,0.0,224.57999999999998,200.0,360.0,700.0
2020-03-22,251.0,2.0,4.0,251.0,2.0,4.0,245.0,0.008,0.0,0.0,0.236,48.0,0.26315789473684204,48.0,0.23076923076923084,0.0,-1.0,0.0,0.0,279.29999999999995,200.0,360.0,700.0
