index,Last Update,Confirmed,Deaths,Recovered,Active Cases,Cases,Death Rate,Recovery Rate,New Deaths,New Recovered,New Cases,New Case Rate,New Death Rate,Date
2,2020-01-24,919.0,26.0,36.0,857.0,883.0,0.028291621327529923,0.03917301414581066,8.0,6.0,280.0,-0.5604395604395604,-0.5555555555555556,1579824000000.0
3,2020-01-25,1408.0,42.0,39.0,1327.0,1369.0,0.029829545454545456,0.027698863636363636,16.0,3.0,489.0,0.7464285714285714,1.0,1579910400000.0
4,2020-01-26,2067.0,56.0,49.0,1962.0,2018.0,0.027092404450895016,0.02370585389453314,14.0,10.0,659.0,0.3476482617586911,-0.125,1579996800000.0
5,2020-01-27,2865.0,82.0,58.0,2725.0,2807.0,0.028621291448516578,0.02024432809773124,26.0,9.0,798.0,0.2109256449165402,0.8571428571428572,1580083200000.0
6,2020-01-28,5497.0,131.0,101.0,5265.0,5396.0,0.02383118064398763,0.018373658359104966,49.0,43.0,2632.0,2.2982456140350878,0.8846153846153846,1580169600000.0
7,2020-01-29,6082.0,133.0,120.0,5829.0,5962.0,0.021867806642551793,0.019730351857941468,2.0,19.0,585.0,-0.7777355623100304,-0.9591836734693877,1580256000000.0
8,2020-01-30,8128.0,171.0,135.0,7822.0,7993.0,0.021038385826771654,0.01660925196850394,38.0,15.0,2046.0,2.4974358974358974,18.0,1580342400000.0
9,2020-01-31,9829.0,213.0,216.0,9400.0,9613.0,0.021670566690405943,0.02197578593956659,42.0,81.0,1701.0,-0.16862170087976536,0.10526315789473695,1580428800000.0
10,2020-02-01,11984.0,259.0,286.0,11439.0,11698.0,0.02161214953271028,0.023865153538050736,46.0,70.0,2155.0,0.26690182245737804,0.09523809523809534,1580515200000.0
11,2020-02-02,16680.0,366.0,463.0,15851.0,16217.0,0.02194244604316547,0.02775779376498801,107.0,177.0,4696.0,1.1791183294663572,1.3260869565217392,1580601600000.0
12,2020-02-03,19770.0,425.0,614.0,18731.0,19156.0,0.021497218007081438,0.03105715730905412,59.0,151.0,3090.0,-0.34199318568994885,-0.44859813084112155,1580688000000.0
13,2020-02-04,23785.0,491.0,844.0,22450.0,22941.0,0.02064326256043725,0.03548454908555813,66.0,230.0,4015.0,0.29935275080906143,0.11864406779661008,1580774400000.0
14,2020-02-05,27541.0,563.0,1120.0,25858.0,26421.0,0.02044224973675611,0.040666642460331866,72.0,276.0,3756.0,-0.0645080946450809,0.09090909090909083,1580860800000.0
15,2020-02-06,30631.0,633.0,1483.0,28515.0,29148.0,0.02066533903561751,0.048415004407299796,70.0,363.0,3090.0,-0.1773162939297125,-0.02777777777777779,1580947200000.0
